ENTIDAD_FEDERATIVA,Depresion_Sem,Depresion_M,Depresion_F,Parkinson_Sem,Parkinson_M,Parkinson_F,Alzheimer_Sem,Alzheimer_M,Alzheimer_F,ANIO,SEMANA
Aguascalientes,1,1,,,,,,,,2014,2
Baja California,2,1,1.0,1.0,1.0,,,,,2014,2
Campeche,2,1,1.0,,,,,,,2014,2
Coahuila,6,2,4.0,,,,,,,2014,2
Guerrero,4,2,2.0,,,,,,,2014,2
Jalisco,2,1,1.0,,,,,,,2014,2
México,3,1,2.0,,,,,,,2014,2
Michoacán,6,2,4.0,,,,,,,2014,2
Morelos,19,4,15.0,,,,,,,2014,2
Sonora,10,2,8.0,,,,,,,2014,2
Veracruz,16,7,9.0,1.0,1.0,,,,,2014,2
Yucatán,19,5,14.0,4.0,1.0,3.0,2.0,2.0,,2014,2
TOTAL,131,29,102.0,11.0,5.0,6.0,4.0,2.0,2.0,2014,2
Aguascalientes,2,2,1.0,,,,,,,2014,3
Baja California,50,10,42.0,6.0,2.0,5.0,6.0,1.0,5.0,2014,3
Baja California Sur,2,1,1.0,,,,,,,2014,3
Campeche,11,2,11.0,1.0,,1.0,,,,2014,3
Coahuila,23,6,23.0,6.0,3.0,3.0,,,,2014,3
Colima,13,5,8.0,1.0,1.0,,,,,2014,3
Chiapas,13,3,10.0,1.0,1.0,,,,,2014,3
Chihuahua,51,8,44.0,4.0,3.0,1.0,2.0,,2.0,2014,3
Distrito Federal,71,17,62.0,6.0,1.0,5.0,1.0,1.0,,2014,3
Guerrero,20,4,20.0,2.0,2.0,,,,,2014,3
Hidalgo,3,2,1.0,2.0,,2.0,,,,2014,3
Jalisco,23,6,19.0,,,,,,,2014,3
México,83,14,72.0,14.0,9.0,5.0,,,,2014,3
Michoacán,27,10,23.0,6.0,3.0,3.0,2.0,1.0,1.0,2014,3
Morelos,33,11,41.0,5.0,4.0,1.0,,,,2014,3
Nayarit,17,5,12.0,2.0,2.0,,2.0,,2.0,2014,3
Nuevo León,32,3,29.0,5.0,2.0,3.0,3.0,1.0,2.0,2014,3
Oaxaca,10,2,12.0,2.0,1.0,2.0,1.0,1.0,,2014,3
Quintana Roo,6,2,4.0,4.0,3.0,1.0,1.0,1.0,,2014,3
San Luis Potosí,9,1,11.0,2.0,1.0,1.0,,,,2014,3
Sinaloa,31,6,44.0,9.0,6.0,6.0,2.0,,3.0,2014,3
Sonora,24,6,28.0,4.0,3.0,1.0,4.0,3.0,1.0,2014,3
Tabasco,5,2,3.0,1.0,,1.0,,,,2014,3
Tamaulipas,28,4,24.0,6.0,4.0,2.0,2.0,1.0,1.0,2014,3
Veracruz,31,12,35.0,,1.0,,1.0,1.0,,2014,3
Yucatán,18,10,27.0,,1.0,3.0,2.0,3.0,1.0,2014,3
Zacatecas,15,4,12.0,,,,,,,2014,3
TOTAL,658,158,632.0,89.0,53.0,47.0,29.0,14.0,19.0,2014,3
Aguascalientes,1,2,2.0,1.0,,1.0,,,,2014,4
Baja California,54,17,89.0,2.0,3.0,6.0,1.0,1.0,6.0,2014,4
Baja California Sur,8,3,7.0,3.0,1.0,2.0,,,,2014,4
Campeche,10,2,21.0,,,1.0,1.0,1.0,,2014,4
Coahuila,19,8,40.0,6.0,8.0,4.0,,,,2014,4
Colima,22,8,27.0,3.0,2.0,2.0,,,,2014,4
Chiapas,10,6,17.0,3.0,4.0,,1.0,1.0,,2014,4
Chihuahua,46,21,77.0,5.0,6.0,3.0,2.0,1.0,3.0,2014,4
Distrito Federal,150,52,177.0,11.0,6.0,11.0,,1.0,,2014,4
Durango,21,3,24.0,3.0,1.0,2.0,,,,2014,4
Guerrero,8,6,26.0,7.0,4.0,5.0,1.0,,1.0,2014,4
Hidalgo,13,6,10.0,5.0,3.0,4.0,,,,2014,4
Jalisco,11,9,30.0,1.0,1.0,,1.0,,1.0,2014,4
México,104,32,158.0,23.0,23.0,14.0,11.0,5.0,6.0,2014,4
Michoacán,30,17,46.0,5.0,7.0,4.0,2.0,2.0,2.0,2014,4
Morelos,41,19,74.0,6.0,7.0,4.0,,,,2014,4
Nayarit,14,7,24.0,1.0,2.0,1.0,,,2.0,2014,4
Nuevo León,72,22,82.0,6.0,7.0,4.0,6.0,4.0,5.0,2014,4
Oaxaca,11,4,21.0,3.0,3.0,3.0,1.0,2.0,,2014,4
Puebla,14,4,12.0,,,1.0,,,,2014,4
Querétaro,2,1,4.0,,,,,,,2014,4
Quintana Roo,13,6,13.0,1.0,4.0,1.0,1.0,1.0,1.0,2014,4
San Luis Potosí,19,7,24.0,1.0,2.0,1.0,1.0,1.0,,2014,4
Sinaloa,38,12,76.0,7.0,10.0,9.0,6.0,3.0,6.0,2014,4
Sonora,40,15,59.0,7.0,9.0,2.0,3.0,6.0,1.0,2014,4
Tabasco,15,3,17.0,1.0,1.0,1.0,1.0,,1.0,2014,4
Tamaulipas,61,17,72.0,10.0,11.0,5.0,5.0,2.0,5.0,2014,4
Veracruz,35,17,65.0,4.0,4.0,1.0,2.0,1.0,2.0,2014,4
Yucatán,28,15,50.0,,1.0,3.0,1.0,3.0,2.0,2014,4
Zacatecas,19,10,25.0,1.0,1.0,,,,,2014,4
TOTAL,933,351,1375.0,127.0,131.0,96.0,47.0,35.0,45.0,2014,4
Aguascalientes,1,2,3.0,,,1.0,,,,2014,5
Baja California,45,30,121.0,6.0,7.0,8.0,3.0,1.0,9.0,2014,5
Baja California Sur,13,5,18.0,2.0,2.0,3.0,,,,2014,5
Campeche,10,6,27.0,2.0,1.0,2.0,1.0,1.0,1.0,2014,5
Coahuila,2,8,42.0,,8.0,4.0,,,,2014,5
Colima,17,11,41.0,,2.0,2.0,2.0,,2.0,2014,5
Chiapas,20,12,31.0,6.0,6.0,4.0,1.0,1.0,1.0,2014,5
Chihuahua,43,25,116.0,8.0,10.0,7.0,2.0,1.0,5.0,2014,5
Distrito Federal,212,124,329.0,10.0,11.0,16.0,4.0,3.0,2.0,2014,5
Durango,9,6,30.0,,1.0,2.0,,,,2014,5
Guerrero,12,11,33.0,3.0,6.0,6.0,,,1.0,2014,5
Hidalgo,30,12,34.0,5.0,5.0,7.0,,,,2014,5
Jalisco,33,22,50.0,,1.0,,,,1.0,2014,5
México,103,50,243.0,19.0,34.0,22.0,6.0,10.0,7.0,2014,5
Michoacán,33,23,73.0,4.0,9.0,6.0,1.0,3.0,2.0,2014,5
Morelos,27,21,99.0,2.0,9.0,4.0,1.0,,1.0,2014,5
Nayarit,40,12,59.0,3.0,4.0,2.0,1.0,,3.0,2014,5
Nuevo León,57,38,123.0,8.0,10.0,9.0,3.0,6.0,6.0,2014,5
Oaxaca,17,10,32.0,1.0,4.0,3.0,1.0,3.0,,2014,5
Puebla,13,7,22.0,3.0,3.0,1.0,,,,2014,5
Querétaro -,1,4,,,,,,,,2014,5
Quintana Roo,9,9,19.0,2.0,5.0,2.0,,1.0,1.0,2014,5
San Luis Potosí,26,10,47.0,,2.0,1.0,1.0,1.0,1.0,2014,5
Sinaloa,40,19,109.0,11.0,17.0,13.0,3.0,4.0,8.0,2014,5
Sonora,32,19,87.0,2.0,10.0,3.0,5.0,8.0,4.0,2014,5
Tabasco,16,7,29.0,2.0,2.0,2.0,,,1.0,2014,5
Tamaulipas,61,24,126.0,8.0,14.0,10.0,1.0,2.0,6.0,2014,5
Veracruz,73,30,125.0,7.0,6.0,6.0,,1.0,2.0,2014,5
Yucatán,8,15,58.0,,1.0,3.0,,3.0,2.0,2014,5
Zacatecas,16,14,37.0,,1.0,,,,,2014,5
TOTAL,1023,583,2178.0,114.0,191.0,150.0,36.0,49.0,67.0,2014,5
Aguascalientes,2,2,5.0,,,1.0,,,,2014,6
Baja California,35,38,148.0,9.0,12.0,12.0,4.0,2.0,12.0,2014,6
Baja California Sur,9,8,24.0,2.0,3.0,4.0,,,,2014,6
Campeche,12,9,36.0,1.0,1.0,3.0,3.0,2.0,3.0,2014,6
Coahuila,45,26,99.0,9.0,21.0,14.0,1.0,2.0,,2014,6
Colima,14,15,51.0,2.0,3.0,3.0,,,2.0,2014,6
Chiapas,19,14,48.0,,6.0,4.0,2.0,2.0,2.0,2014,6
Chihuahua,52,35,158.0,6.0,11.0,12.0,,1.0,5.0,2014,6
Distrito Federal,192,175,478.0,46.0,14.0,59.0,2.0,4.0,3.0,2014,6
Durango,1,6,31.0,1.0,2.0,2.0,1.0,1.0,,2014,6
Guanajuato,7,2,15.0,1.0,,2.0,,,1.0,2014,6
Guerrero,11,14,41.0,2.0,7.0,7.0,3.0,1.0,3.0,2014,6
Hidalgo,16,15,47.0,2.0,6.0,8.0,,,,2014,6
Jalisco,39,28,83.0,2.0,2.0,1.0,,,1.0,2014,6
México,125,81,341.0,10.0,39.0,28.0,4.0,10.0,11.0,2014,6
Michoacán,49,32,115.0,10.0,12.0,13.0,5.0,6.0,4.0,2014,6
Morelos,41,33,128.0,3.0,11.0,5.0,,,1.0,2014,6
Nayarit,27,18,80.0,3.0,6.0,3.0,2.0,,5.0,2014,6
Nuevo León,38,45,154.0,5.0,12.0,12.0,4.0,6.0,10.0,2014,6
Oaxaca,26,14,54.0,5.0,7.0,5.0,1.0,3.0,1.0,2014,6
Puebla,6,15,49.0,1.0,8.0,3.0,,,,2014,6
Querétaro,1,2,4.0,3.0,1.0,2.0,,,,2014,6
Quintana Roo,15,13,30.0,4.0,6.0,5.0,2.0,1.0,3.0,2014,6
San Luis Potosí,42,17,82.0,,2.0,1.0,,1.0,1.0,2014,6
Sinaloa,36,24,140.0,9.0,21.0,18.0,2.0,5.0,9.0,2014,6
Sonora,61,34,133.0,5.0,12.0,6.0,3.0,9.0,6.0,2014,6
Tabasco,36,20,52.0,2.0,4.0,2.0,,,1.0,2014,6
Tamaulipas,40,29,161.0,5.0,17.0,12.0,2.0,4.0,6.0,2014,6
Veracruz,120,49,226.0,4.0,7.0,9.0,,1.0,2.0,2014,6
Yucatán,23,19,77.0,5.0,4.0,5.0,,3.0,2.0,2014,6
Zacatecas,11,15,47.0,2.0,1.0,2.0,,,,2014,6
TOTAL,1151,847,3138.0,159.0,258.0,263.0,41.0,64.0,94.0,2014,6
Aguascalientes,6,6,7.0,,,1.0,,,,2014,7
Baja California,33,45,174.0,7.0,13.0,18.0,1.0,3.0,12.0,2014,7
Baja California Sur,8,9,31.0,,3.0,4.0,,,,2014,7
Campeche,12,13,44.0,,1.0,3.0,1.0,3.0,3.0,2014,7
Coahuila,11,28,108.0,4.0,21.0,18.0,3.0,2.0,3.0,2014,7
Colima,18,23,61.0,6.0,5.0,7.0,,,2.0,2014,7
Chiapas,18,15,65.0,,6.0,4.0,,2.0,2.0,2014,7
Chihuahua,47,42,198.0,7.0,14.0,16.0,,1.0,5.0,2014,7
Distrito Federal,126,201,578.0,10.0,18.0,65.0,1.0,4.0,4.0,2014,7
Durango,17,10,44.0,,2.0,2.0,1.0,1.0,1.0,2014,7
Guanajuato,3,2,18.0,2.0,1.0,3.0,,,1.0,2014,7
Guerrero,6,14,47.0,3.0,10.0,7.0,2.0,2.0,4.0,2014,7
Hidalgo,25,23,64.0,6.0,10.0,10.0,,,,2014,7
Jalisco,29,32,108.0,5.0,3.0,5.0,2.0,1.0,2.0,2014,7
México,95,96,422.0,16.0,46.0,37.0,,10.0,11.0,2014,7
Michoacán,25,33,137.0,2.0,12.0,15.0,,6.0,4.0,2014,7
Morelos,18,36,143.0,3.0,14.0,5.0,2.0,,3.0,2014,7
Nayarit,31,25,104.0,1.0,6.0,4.0,1.0,,6.0,2014,7
Nuevo León,41,60,180.0,7.0,14.0,17.0,3.0,7.0,12.0,2014,7
Oaxaca,36,22,82.0,2.0,9.0,5.0,1.0,3.0,2.0,2014,7
Puebla,9,16,57.0,2.0,9.0,4.0,,,,2014,7
Querétaro,6,4,8.0,,1.0,2.0,,,,2014,7
Quintana Roo,13,17,39.0,1.0,6.0,6.0,1.0,1.0,4.0,2014,7
San Luis Potosí,48,26,121.0,,2.0,1.0,1.0,2.0,1.0,2014,7
Sinaloa,35,36,163.0,11.0,26.0,24.0,4.0,6.0,12.0,2014,7
Sonora,28,40,155.0,6.0,16.0,8.0,3.0,10.0,8.0,2014,7
Tabasco,21,22,71.0,3.0,7.0,2.0,,,1.0,2014,7
Tamaulipas,34,40,184.0,7.0,22.0,14.0,2.0,6.0,6.0,2014,7
Veracruz,99,67,307.0,3.0,7.0,12.0,1.0,2.0,2.0,2014,7
Yucatán,16,23,89.0,4.0,6.0,7.0,,3.0,2.0,2014,7
Zacatecas,13,19,56.0,2.0,3.0,2.0,,,,2014,7
TOTAL,927,1045,3866.0,120.0,313.0,328.0,30.0,75.0,113.0,2014,7
Aguascalientes,7,7,13.0,,,1.0,,,,2014,8
Baja California,50,63,206.0,4.0,15.0,20.0,4.0,4.0,15.0,2014,8
Baja California Sur,4,11,33.0,1.0,4.0,4.0,,,,2014,8
Campeche,26,20,63.0,2.0,1.0,5.0,1.0,4.0,3.0,2014,8
Coahuila,34,39,131.0,5.0,22.0,22.0,4.0,3.0,6.0,2014,8
Colima,21,26,79.0,3.0,5.0,10.0,,,2.0,2014,8
Chiapas,16,17,79.0,2.0,8.0,4.0,2.0,3.0,3.0,2014,8
Chihuahua,51,50,241.0,9.0,16.0,23.0,5.0,1.0,10.0,2014,8
Distrito Federal,336,297,823.0,2.0,19.0,66.0,1.0,5.0,4.0,2014,8
Durango,20,25,71.0,,2.0,2.0,,2.0,3.0,2014,8
Guanajuato,8,3,25.0,2.0,3.0,3.0,,,1.0,2014,8
Guerrero,16,21,56.0,,10.0,7.0,,2.0,4.0,2014,8
Hidalgo,16,24,79.0,5.0,12.0,13.0,,,,2014,8
Jalisco,48,39,150.0,,3.0,5.0,1.0,1.0,3.0,2014,8
México,122,123,518.0,13.0,54.0,42.0,3.0,10.0,14.0,2014,8
Michoacán,43,46,182.0,1.0,14.0,17.0,2.0,6.0,7.0,2014,8
Morelos,32,43,168.0,3.0,17.0,5.0,1.0,,4.0,2014,8
Nayarit,33,33,129.0,1.0,6.0,5.0,,,6.0,2014,8
Nuevo León,55,73,222.0,11.0,19.0,23.0,2.0,7.0,14.0,2014,8
Oaxaca,11,22,96.0,5.0,12.0,7.0,1.0,3.0,3.0,2014,8
Puebla,9,18,64.0,2.0,10.0,5.0,,,,2014,8
Querétaro,8,9,11.0,,1.0,2.0,,,,2014,8
Quintana Roo,16,19,53.0,,6.0,6.0,,1.0,4.0,2014,8
San Luis Potosí,35,33,149.0,,2.0,1.0,,2.0,1.0,2014,8
Sinaloa,29,41,187.0,10.0,31.0,29.0,3.0,7.0,14.0,2014,8
Sonora,45,46,194.0,8.0,19.0,13.0,5.0,11.0,12.0,2014,8
Tabasco,24,26,91.0,1.0,7.0,3.0,,,1.0,2014,8
Tamaulipas,44,47,221.0,14.0,30.0,20.0,2.0,6.0,8.0,2014,8
Veracruz,113,83,404.0,8.0,9.0,18.0,,2.0,2.0,2014,8
Yucatán,27,26,113.0,3.0,8.0,8.0,3.0,4.0,4.0,2014,8
Zacatecas,19,23,71.0,,3.0,2.0,1.0,,1.0,2014,8
TOTAL,1318,1353,4923.0,115.0,368.0,391.0,41.0,84.0,149.0,2014,8
Aguascalientes,2,7,15.0,1.0,,2.0,,,,2014,9
Baja California,51,72,248.0,11.0,21.0,25.0,,4.0,15.0,2014,9
Baja California Sur,4,11,37.0,,4.0,4.0,,,,2014,9
Campeche,17,24,76.0,1.0,1.0,6.0,,4.0,3.0,2014,9
Coahuila,44,51,163.0,5.0,26.0,23.0,,3.0,6.0,2014,9
Colima,12,27,90.0,3.0,7.0,11.0,,,2.0,2014,9
Chiapas,15,17,95.0,3.0,10.0,5.0,2.0,4.0,4.0,2014,9
Chihuahua,67,65,293.0,8.0,23.0,24.0,1.0,1.0,11.0,2014,9
Distrito Federal,309,382,1047.0,10.0,24.0,71.0,1.0,5.0,5.0,2014,9
Durango,9,26,79.0,,2.0,2.0,,2.0,3.0,2014,9
Guanajuato,18,6,40.0,2.0,3.0,5.0,,,1.0,2014,9
Guerrero,14,21,70.0,10.0,19.0,8.0,,2.0,4.0,2014,9
Hidalgo,23,28,98.0,1.0,12.0,14.0,,,,2014,9
Jalisco,49,48,190.0,,3.0,5.0,,1.0,3.0,2014,9
México,108,154,595.0,12.0,61.0,47.0,2.0,12.0,14.0,2014,9
Michoacán,39,57,210.0,9.0,21.0,19.0,2.0,7.0,8.0,2014,9
Morelos,65,56,220.0,2.0,19.0,5.0,1.0,,5.0,2014,9
Nayarit,10,36,136.0,2.0,7.0,6.0,2.0,,8.0,2014,9
Nuevo León,61,88,268.0,13.0,23.0,32.0,5.0,9.0,17.0,2014,9
Oaxaca,26,26,120.0,,12.0,9.0,2.0,4.0,4.0,2014,9
Puebla,7,18,71.0,1.0,11.0,5.0,,,,2014,9
Querétaro,7,11,16.0,,1.0,2.0,,,,2014,9
Quintana Roo,18,24,66.0,,6.0,6.0,1.0,1.0,5.0,2014,9
San Luis Potosí,29,35,176.0,2.0,3.0,2.0,1.0,3.0,1.0,2014,9
Sinaloa,35,45,218.0,9.0,36.0,33.0,2.0,8.0,15.0,2014,9
Sonora,37,53,224.0,5.0,23.0,14.0,5.0,12.0,16.0,2014,9
Tabasco,32,33,117.0,1.0,8.0,3.0,1.0,,2.0,2014,9
Tamaulipas,29,54,243.0,1.0,30.0,21.0,1.0,6.0,9.0,2014,9
Tlaxcala,3,1,3.0,,,,,,,2014,9
Veracruz,72,96,463.0,4.0,12.0,19.0,2.0,2.0,4.0,2014,9
Yucatán,31,28,142.0,2.0,8.0,10.0,3.0,5.0,6.0,2014,9
Zacatecas,16,26,84.0,,3.0,2.0,,,1.0,2014,9
TOTAL,1259,1626,5913.0,118.0,439.0,440.0,34.0,95.0,172.0,2014,9
Aguascalientes,2,7,17.0,,,2.0,,,,2014,10
Baja California,80,80,320.0,5.0,24.0,27.0,2.0,5.0,16.0,2014,10
Baja California Sur,10,13,45.0,,4.0,4.0,1.0,,1.0,2014,10
Campeche,11,24,87.0,3.0,4.0,6.0,1.0,4.0,4.0,2014,10
Coahuila,33,58,189.0,6.0,29.0,26.0,1.0,3.0,7.0,2014,10
Colima,9,30,96.0,3.0,7.0,14.0,,,2.0,2014,10
Chiapas,17,19,110.0,5.0,13.0,7.0,1.0,4.0,5.0,2014,10
Chihuahua,79,80,357.0,8.0,28.0,27.0,3.0,2.0,13.0,2014,10
Distrito Federal,273,468,1234.0,5.0,27.0,73.0,1.0,6.0,5.0,2014,10
Durango,55,45,115.0,,2.0,2.0,,2.0,3.0,2014,10
Guanajuato,6,8,44.0,1.0,3.0,6.0,,,1.0,2014,10
Guerrero,14,23,82.0,1.0,19.0,9.0,2.0,4.0,4.0,2014,10
Hidalgo,22,34,120.0,,12.0,14.0,,,,2014,10
Jalisco,39,62,216.0,,3.0,5.0,,1.0,3.0,2014,10
México,150,189,711.0,7.0,64.0,51.0,1.0,13.0,14.0,2014,10
Michoacán,31,64,234.0,5.0,25.0,20.0,2.0,9.0,8.0,2014,10
Morelos,31,58,249.0,5.0,23.0,6.0,,,5.0,2014,10
Nayarit,25,40,157.0,3.0,9.0,7.0,,,8.0,2014,10
Nuevo León,69,98,327.0,6.0,26.0,35.0,6.0,13.0,19.0,2014,10
Oaxaca,37,40,145.0,3.0,15.0,10.0,,4.0,4.0,2014,10
Puebla,15,19,85.0,,11.0,5.0,,,,2014,10
Querétaro,11,13,25.0,,1.0,2.0,,,,2014,10
Quintana Roo,13,26,77.0,1.0,6.0,7.0,,1.0,5.0,2014,10
San Luis Potosí,45,45,211.0,1.0,4.0,2.0,,3.0,1.0,2014,10
Sinaloa,33,47,249.0,8.0,36.0,41.0,3.0,9.0,17.0,2014,10
Sonora,54,65,266.0,4.0,24.0,17.0,1.0,13.0,16.0,2014,10
Tabasco,23,44,130.0,3.0,11.0,3.0,,,2.0,2014,10
Tamaulipas,59,64,292.0,13.0,39.0,25.0,3.0,7.0,11.0,2014,10
Tlaxcala,7,2,9.0,,,,,,,2014,10
Veracruz,74,116,517.0,3.0,15.0,19.0,,2.0,4.0,2014,10
Yucatán,43,34,179.0,5.0,13.0,10.0,,5.0,6.0,2014,10
Zacatecas,28,29,109.0,,3.0,2.0,,,1.0,2014,10
TOTAL,1398,1944,7004.0,104.0,500.0,484.0,28.0,110.0,185.0,2014,10
Aguascalientes,3,7,20.0,,,2.0,,,,2014,11
Baja California,49,93,356.0,4.0,25.0,30.0,3.0,7.0,17.0,2014,11
Baja California Sur,8,18,48.0,,4.0,4.0,,,1.0,2014,11
Campeche,15,28,98.0,,4.0,6.0,,4.0,4.0,2014,11
Coahuila,33,66,214.0,5.0,32.0,28.0,2.0,3.0,9.0,2014,11
Colima,14,32,108.0,4.0,9.0,16.0,1.0,,3.0,2014,11
Chiapas,18,23,124.0,5.0,14.0,11.0,1.0,4.0,6.0,2014,11
Chihuahua,51,90,398.0,10.0,30.0,35.0,3.0,3.0,15.0,2014,11
Distrito Federal,257,520,1439.0,1.0,27.0,74.0,7.0,9.0,9.0,2014,11
Durango,33,53,140.0,,2.0,2.0,,2.0,3.0,2014,11
Guanajuato,7,10,49.0,1.0,4.0,6.0,,,1.0,2014,11
Guerrero,17,26,96.0,,19.0,9.0,,4.0,4.0,2014,11
Hidalgo,23,39,138.0,2.0,14.0,14.0,2.0,1.0,1.0,2014,11
Jalisco,41,74,245.0,4.0,4.0,8.0,2.0,3.0,3.0,2014,11
México,108,203,805.0,17.0,75.0,57.0,3.0,14.0,16.0,2014,11
Michoacán,44,71,271.0,6.0,30.0,21.0,,9.0,8.0,2014,11
Morelos,52,75,284.0,7.0,27.0,9.0,1.0,1.0,5.0,2014,11
Nayarit,22,45,174.0,2.0,11.0,7.0,1.0,,9.0,2014,11
Nuevo León,58,123,374.0,7.0,30.0,38.0,3.0,14.0,21.0,2014,11
Oaxaca,30,48,169.0,1.0,16.0,10.0,2.0,5.0,5.0,2014,11
Puebla,7,20,91.0,1.0,12.0,5.0,,,,2014,11
Querétaro,16,18,36.0,,1.0,2.0,,,,2014,11
Quintana Roo,8,26,85.0,2.0,7.0,8.0,2.0,1.0,7.0,2014,11
San Luis Potosí,53,52,257.0,,4.0,2.0,,3.0,1.0,2014,11
Sinaloa,47,55,289.0,9.0,41.0,45.0,2.0,11.0,17.0,2014,11
Sonora,55,78,308.0,2.0,24.0,19.0,4.0,16.0,17.0,2014,11
Tabasco,38,49,163.0,6.0,14.0,6.0,2.0,,4.0,2014,11
Tamaulipas,63,74,345.0,5.0,42.0,27.0,2.0,7.0,13.0,2014,11
Tlaxcala -,2,9,,,,,,,,2014,11
Veracruz,83,132,584.0,15.0,24.0,25.0,9.0,3.0,12.0,2014,11
Yucatán,24,39,198.0,4.0,16.0,11.0,2.0,6.0,7.0,2014,11
Zacatecas,23,33,128.0,,3.0,2.0,,,1.0,2014,11
TOTAL,1300,2222,8043.0,120.0,565.0,539.0,54.0,130.0,219.0,2014,11
Aguascalientes,3,7,23.0,,,2.0,1.0,,1.0,2014,12
Baja California,42,99,392.0,5.0,26.0,34.0,4.0,9.0,19.0,2014,12
Baja California Sur,13,21,58.0,,4.0,4.0,2.0,,3.0,2014,12
Campeche,23,34,115.0,,4.0,6.0,1.0,5.0,4.0,2014,12
Coahuila,57,82,255.0,4.0,34.0,30.0,3.0,3.0,12.0,2014,12
Colima,33,41,132.0,8.0,11.0,22.0,,,3.0,2014,12
Chiapas,24,26,145.0,2.0,15.0,12.0,,4.0,6.0,2014,12
Chihuahua,61,104,445.0,9.0,36.0,38.0,1.0,4.0,15.0,2014,12
Distrito Federal,247,638,1637.0,5.0,30.0,76.0,2.0,10.0,10.0,2014,12
Durango,29,61,161.0,6.0,4.0,6.0,,2.0,3.0,2014,12
Guanajuato,14,14,59.0,,4.0,6.0,1.0,,2.0,2014,12
Guerrero,16,28,110.0,1.0,19.0,10.0,1.0,4.0,5.0,2014,12
Hidalgo,21,43,155.0,6.0,19.0,15.0,2.0,1.0,3.0,2014,12
Jalisco,42,81,280.0,4.0,5.0,11.0,,3.0,3.0,2014,12
México,152,241,919.0,11.0,80.0,63.0,3.0,16.0,17.0,2014,12
Michoacán,48,79,311.0,8.0,36.0,23.0,2.0,10.0,9.0,2014,12
Morelos,42,93,308.0,3.0,29.0,10.0,2.0,2.0,6.0,2014,12
Nayarit,35,52,202.0,,11.0,7.0,,,9.0,2014,12
Nuevo León,74,134,437.0,7.0,32.0,43.0,4.0,16.0,23.0,2014,12
Oaxaca,43,59,201.0,4.0,19.0,11.0,,5.0,5.0,2014,12
Puebla,9,20,100.0,2.0,14.0,5.0,,,,2014,12
Querétaro,12,23,43.0,1.0,2.0,2.0,,,,2014,12
Quintana Roo,13,27,97.0,4.0,9.0,10.0,1.0,1.0,8.0,2014,12
San Luis Potosí,64,66,307.0,1.0,5.0,2.0,1.0,4.0,1.0,2014,12
Sinaloa,60,63,341.0,9.0,44.0,51.0,3.0,12.0,19.0,2014,12
Sonora,65,87,364.0,4.0,26.0,21.0,,16.0,17.0,2014,12
Tabasco,49,61,200.0,2.0,16.0,6.0,1.0,,5.0,2014,12
Tamaulipas,53,88,384.0,8.0,47.0,30.0,3.0,7.0,16.0,2014,12
Tlaxcala,2,4,12.0,1.0,,1.0,,,,2014,12
Veracruz,75,147,644.0,4.0,27.0,26.0,1.0,3.0,13.0,2014,12
Yucatán,38,48,227.0,7.0,21.0,13.0,,6.0,7.0,2014,12
Zacatecas,20,36,145.0,,3.0,2.0,,,1.0,2014,12
TOTAL,1479,2607,9209.0,126.0,632.0,598.0,39.0,143.0,245.0,2014,12
Aguascalientes,1,7,24.0,,,2.0,,,1.0,2014,13
Baja California,42,108,425.0,3.0,27.0,36.0,,9.0,19.0,2014,13
Baja California Sur,9,25,63.0,1.0,5.0,4.0,1.0,,4.0,2014,13
Campeche,13,41,121.0,4.0,6.0,8.0,,5.0,4.0,2014,13
Coahuila,17,85,269.0,6.0,36.0,34.0,1.0,3.0,13.0,2014,13
Colima,29,50,152.0,2.0,12.0,23.0,,,3.0,2014,13
Chiapas,15,29,157.0,1.0,15.0,13.0,2.0,4.0,8.0,2014,13
Chihuahua,70,119,500.0,12.0,39.0,47.0,,4.0,15.0,2014,13
Distrito Federal,328,740,1874.0,2.0,32.0,78.0,2.0,11.0,11.0,2014,13
Durango,36,66,192.0,2.0,6.0,6.0,,2.0,3.0,2014,13
Guanajuato,10,15,68.0,1.0,4.0,7.0,,,2.0,2014,13
Guerrero,9,35,112.0,,19.0,10.0,,4.0,5.0,2014,13
Hidalgo,39,48,189.0,5.0,22.0,17.0,1.0,1.0,4.0,2014,13
Jalisco,77,91,349.0,,5.0,11.0,,3.0,3.0,2014,13
México,93,263,990.0,5.0,82.0,66.0,4.0,19.0,18.0,2014,13
Michoacán,48,87,351.0,11.0,43.0,27.0,2.0,12.0,9.0,2014,13
Morelos,33,99,335.0,3.0,31.0,11.0,3.0,3.0,8.0,2014,13
Nayarit,19,58,215.0,2.0,12.0,8.0,2.0,2.0,9.0,2014,13
Nuevo León,55,141,485.0,6.0,33.0,48.0,3.0,16.0,26.0,2014,13
Oaxaca,30,67,223.0,3.0,18.0,14.0,,5.0,5.0,2014,13
Puebla,12,22,112.0,,14.0,5.0,1.0,1.0,,2014,13
Querétaro,13,26,53.0,,2.0,2.0,,,,2014,13
Quintana Roo,14,28,110.0,4.0,11.0,12.0,1.0,1.0,9.0,2014,13
San Luis Potosí,25,75,323.0,,5.0,2.0,1.0,4.0,2.0,2014,13
Sinaloa,26,68,362.0,8.0,47.0,56.0,4.0,13.0,22.0,2014,13
Sonora,28,95,384.0,5.0,27.0,25.0,3.0,17.0,19.0,2014,13
Tabasco,38,72,227.0,1.0,16.0,7.0,2.0,1.0,6.0,2014,13
